Year	Month	CPI
2010	Jan	63.60
2010	Feb	63.84
2010	Mar	64.64
2010	Apr	65.82
2010	May	65.91
2010	Jun	66.15
2010	Jul	67.52
2010	Aug	68.99
2010	Sep	70.40
2010	Oct	71.09
2010	Nov	71.80
2010	Dec	71.58
2011	Jan	72.45
2011	Feb	72.05
2011	Mar	73.06
2011	Apr	74.08
2011	May	74.24
2011	Jun	74.96
2011	Jul	75.91
2011	Aug	76.97
2011	Sep	77.76
2011	Oct	78.89
2011	Nov	79.11
2011	Dec	78.56
2012	Jan	79.76
2012	Feb	80.00
2012	Mar	80.94
2012	Apr	82.42
2012	May	83.37
2012	Jun	83.40
2012	Jul	83.19
2012	Aug	83.94
2012	Sep	84.60
2012	Oct	84.93
2012	Nov	84.59
2012	Dec	84.79
2013	Jan	86.20
2013	Feb	85.91
2013	Mar	86.26
2013	Apr	87.20
2013	May	87.65
2013	Jun	88.28
2013	Jul	90.07
2013	Aug	91.11
2013	Sep	90.85
2013	Oct	92.64
2013	Nov	93.81
2013	Dec	92.57
2014	Jan	93.02
2014	Feb	92.73
2014	Mar	93.62
2014	Apr	95.21
2014	May	94.96
2014	Jun	95.54
2014	Jul	97.17
2014	Aug	97.48
2014	Sep	97.83
2014	Oct	98.03
2014	Nov	97.53
2014	Dec	96.55
2015	Jan	96.63
2015	Feb	95.73
2015	Mar	95.95
2015	Apr	97.22
2015	May	97.96
2015	Jun	98.56
2015	Jul	98.92
2015	Aug	99.23
2015	Sep	99.12
2015	Oct	99.61
2015	Nov	100.19
2015	Dec	99.62
2016	Jan	99.83
2016	Feb	99.58
2016	Mar	99.73
2016	Apr	101.28
2016	May	101.06
2016	Jun	101.70
2016	Jul	103.07
2016	Aug	102.76
2016	Sep	102.97
2016	Oct	103.80
2016	Nov	104.01
2016	Dec	103.31
2017	Jan	103.49
2017	Feb	103.78
2017	Mar	104.66
2017	Apr	106.12
2017	May	106.13
2017	Jun	105.70
2017	Jul	106.07
2017	Aug	106.27
2017	Sep	106.94
2017	Oct	107.74
2017	Nov	108.14
2017	Dec	108.03
2018	Jan	108.07
2018	Feb	107.73
2018	Mar	108.06
2018	Apr	110.02
2018	May	110.58
2018	Jun	111.21
2018	Jul	112.25
2018	Aug	112.48
2018	Sep	112.42
2018	Oct	115.04
2018	Nov	115.17
2018	Dec	114.70
2019	Jan	115.84
2019	Feb	116.57
2019	Mar	118.23
2019	Apr	119.72
2019	May	120.66
2019	Jun	121.09
2019	Jul	123.86
2019	Aug	125.89
2019	Sep	126.86
2019	Oct	129.16
2019	Nov	130.90
2019	Dec	130.45
2020	Jan	133.03
2020	Feb	131.64
2020	Mar	131.69
2020	Apr	130.59
2020	May	131.01
2020	Jun	132.08
2020	Jul	135.38
2020	Aug	136.23
2020	Sep	138.32
2020	Oct	140.67
2020	Nov	141.83
2020	Dec	140.86
2021	Jan	140.56
2021	Feb	143.09
2021	Mar	143.61
2021	Apr	145.09
2021	May	145.24
2021	Jun	144.82
2021	Jul	146.76
2021	Aug	147.61
2021	Sep	150.74
2021	Oct	153.61
2021	Nov	158.18
2021	Dec	158.16
2022	Jan	158.78
2022	Feb	160.61
2022	Mar	161.88
2022	Apr	164.50
2022	May	165.23
2022	Jun	175.71
2022	Jul	183.35
2022	Aug	187.84
2022	Sep	185.68
2022	Oct	194.42
2022	Nov	195.89
2022	Dec	196.86
2023	Jan	202.53
2023	Feb	211.28
2023	Mar	219.14
2023	Apr	224.41
2023	May	227.96
2023	Jun	227.37
2023	Jul	235.23
2023	Aug	239.27
2023	Sep	244.05
2023	Oct	246.69
2023	Nov	253.15
2023	Dec	255.24
2024	Jan	259.92
2024	Feb	260.01
2024	Mar	264.46
2024	Apr	263.32
2024	May	254.78
2024	Jun	255.94
2024	Jul	261.32
2024	Aug	262.32
2024	Sep	260.96
2024	Oct	264.17
2024	Nov	265.46
2024	Dec	265.63
